TABLE_NAME,TABLE_COMMENT,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,COLUMN_KEY,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,COLUMN_COMMENT
accidents,,사고번호,varchar,varchar(50),PRI,NO,NULL,,
accidents,,사고일시,varchar,varchar(50),,NO,NULL,,
accidents,,기상상태,varchar,varchar(20),,NO,NULL,,
accidents,,사고내용,varchar,varchar(20),,NO,NULL,,
accidents,,사상자수,int,int,,YES,NULL,,
driver_1,,사고번호,varchar,varchar(50),PRI,NO,NULL,,
driver_1,,가해운전자_차종,varchar,varchar(20),,YES,NULL,,
driver_1,,가해운전자_성별,varchar,varchar(20),,YES,NULL,,
driver_1,,가해운전자_연령,int,int,,YES,NULL,,
driver_1,,가해운전자_상해정도,varchar,varchar(20),,YES,NULL,,
driver_1,,연령대,varchar,varchar(20),,YES,NULL,,
driver_2,,사고번호,varchar,varchar(50),PRI,NO,NULL,,
driver_2,,피해운전자_차종,varchar,varchar(20),,YES,NULL,,
driver_2,,피해운전자_성별,varchar,varchar(20),,YES,NULL,,
driver_2,,피해운전자_연령,int,int,,YES,NULL,,
driver_2,,피해운전자_상해정도,varchar,varchar(20),,YES,NULL,,
driver_2,,연령대,varchar,varchar(20),,YES,NULL,,
weather_road,,기상상태,varchar,varchar(20),PRI,NO,NULL,,
weather_road,,노면상태,varchar,varchar(20),,NO,NULL,,
